InChIKey,SMILES
KWOLFJPFCHCOCG-UHFFFAOYSA-N,CC(=O)c1ccccc1
KRIOVPPHQSLHCZ-UHFFFAOYSA-N,CCC(=O)c1ccccc1
IMACFCSSMIZSPP-UHFFFAOYSA-N,O=C(CCl)c1ccccc1
PJGSXYOJTGTZAV-UHFFFAOYSA-N,CC(=O)C(C)(C)C
XHLHPRDBBAGVEG-UHFFFAOYSA-N,O=C1CCCc2ccccc21
RIFKADJTWUGDOV-UHFFFAOYSA-N,CC(=O)C1CCCCC1
KYNHSQQWQIIFTG-UHFFFAOYSA-N,O=C1CCCC=C1Br
GGWCZBGAIGGTDA-UHFFFAOYSA-N,COc1ccc2cc(C(C)=O)ccc2c1
XVRCVKWYKYJEIG-UHFFFAOYSA-N,COC(=O)CCC(=O)c1ccccc1
GRIWFUFDJOESIC-UHFFFAOYSA-N,COC(=O)CCCC(=O)c1ccccc1
RUENABICCRWAEK-UHFFFAOYSA-N,COC(=O)CCC(=O)c1ccc(OC)c(OC)c1
JDVISUFZLXDPQJ-UHFFFAOYSA-N,COC(CC1=CCCC1=O)OC
FFZLOJDYTNKOCQ-UHFFFAOYSA-N,C=CC1=C(C)C(=O)CCC1(C)C
KTJRGPZVSKWRTJ-UHFFFAOYSA-N,O=C(CCCl)c1ccccc1
HHZPPLBLSSEAQT-UHFFFAOYSA-N,C=C(OC(=O)OCC)C1=C(C)C(=O)CCC1(C)C
JYAQYXOVOHJRCS-UHFFFAOYSA-N,CC(=O)c1cccc(Br)c1
BAYUSCHCCGXLAY-UHFFFAOYSA-N,COc1cccc(C(C)=O)c1
XSAYZAUNJMRRIR-UHFFFAOYSA-N,CC(=O)c1ccc2ccccc2c1
WJZDXONSAPNKGB-UHFFFAOYSA-N,O=C1CCC=C1Br
LZIVBWLOLYCDAZ-UHFFFAOYSA-N,CC(=O)C(c1ccccc1)(c1ccccc1)c1ccccc1
WYJOVVXUZNRJQY-UHFFFAOYSA-N,CC(=O)c1cccs1
UWSLJSQGWHYSDM-UHFFFAOYSA-N,CCNCC(=O)c1ccc(Cl)c(Cl)c1
