,cv_RMSE,cv_r2,regression_RMSE,regression_r2
Lasso 0.00048828125 cv,0.7837682219434877,0.7363806964875551,0.49085791759975095,0.8966016740065873
Lasso 0.000244140625 cv,0.6660048789126392,0.8096483140389106,0.3444801020880859,0.9490750995397436
Lasso 0.0001220703125 cv,0.7084266038247632,0.7846268150203812,0.23441176401526836,0.9764190817563807
Ridge 9.5367431640625e-07 cv,0.605392356035719,0.8427191771803024,0.0008175658323362669,0.9999997131549414
Ridge 1.9073486328125e-06 cv,0.6065124663929604,0.8421366298275473,0.0015604823271994977,0.9999989549919992
Ridge 7.62939453125e-06 cv,0.6082859776471914,0.8412120592217,0.005470683500165141,0.9999871564498378
Ridge 3.814697265625e-06 cv,0.6076793718527653,0.8415285999958897,0.0029379748060181917,0.999996295769179
PLS 1 cv,1.1002751452443829,0.48047732016349864,0.982186025003424,0.5860104226500878
PLS 2 cv,1.005305840241394,0.5662911166978974,0.8863846825789861,0.6628319676989587
Ridge 6.103515625e-05 cv,0.6032992442999804,0.8438048771436811,0.03056562092029,0.9995990701867985
Ridge 1.52587890625e-05 cv,0.6077383040827138,0.8414978616616113,0.01001480549825335,0.9999569585449464
Ridge 0.0001220703125 cv,0.6007401291379318,0.8451271845345659,0.05060327973055922,0.9989010973076142
ElasticNet 0.00048828125 0.5 cv,0.8316140418284326,0.7032125488669932,0.680674735188029,0.8011703406071714
Ridge 3.0517578125e-05 cv,0.6059280631332449,0.8424407008130457,0.01780827494564798,0.9998639039217221
Lasso 6.103515625e-05 cv,0.7429131979543843,0.7631474559637046,0.14970962396714865,0.9903816329690135
PLS 3 cv,0.8626374033806908,0.6806562092218742,0.6767578409812062,0.8034520588537444
Ridge 0.000244140625 cv,0.6001528479798108,0.8454298426189522,0.08059543053926209,0.9972124494888197
Ridge 0.00048828125 cv,0.6047904432546392,0.8430317753620411,0.12340424307616724,0.9934647517195999
PLS 5 cv,0.7307052768016288,0.7708676582453913,0.4759339256948661,0.9027935163365688
PLS 4 cv,0.779117530827627,0.7394999209964104,0.573844072631106,0.8586845302310515
PLS 7 cv,0.682462306878871,0.8001246459375725,0.27976925167541267,0.966410629188007
PLS 6 cv,0.6969712627645633,0.7915357200095352,0.3602271004662695,0.9443128911098848
PLS 8 cv,0.6826632530368715,0.8000069248646231,0.24376189159649195,0.9745003905340545
PLS 9 cv,0.6655952071859572,0.8098824195908363,0.20738827527423584,0.9815426092664788
ElasticNet 0.000244140625 0.5 cv,0.7602501676416501,0.751963864882825,0.5535075590201828,0.8685232322140963
ElasticNet 0.0001220703125 0.5 cv,0.7052304194010754,0.7865658149452469,0.4352251021860492,0.9187113748587018
Lasso 3.0517578125e-05 cv,0.7614660455954471,0.7511698556395064,0.08959125373778327,0.9965554449121857
ElasticNet 6.103515625e-05 0.5 cv,0.6537646626731107,0.8165808015827098,0.3280047423170284,0.9538297578772343
Lasso 1.52587890625e-05 cv,0.7082493225114536,0.784734594325864,0.050272836085807876,0.9989154023010135
ElasticNet 3.0517578125e-05 0.5 cv,0.6297645542225871,0.8298004793587943,0.2359519265052942,0.9761081949884995
Lasso 7.62939453125e-06 cv,0.6379796508933198,0.8253311102923809,0.027988184414453336,0.9996638358782314
ElasticNet 1.52587890625e-05 0.5 cv,0.6143441074607879,0.8380334615584047,0.16181941867650665,0.9887626688346534
Lasso 3.814697265625e-06 cv,0.6091993499401251,0.8407348448924883,0.01713840888041779,0.9998739499837339
ElasticNet 7.62939453125e-06 0.5 cv,0.6043046730081291,0.8432838291822267,0.10752079715325294,0.9950387986005861
Lasso 1.9073486328125e-06 cv,0.6477203220155879,0.8199567049089278,0.009609466861265124,0.9999603721515649
Lasso 9.5367431640625e-07 cv,0.7028963755943363,0.7879762486316493,0.0056665935715518485,0.999986220100962
ElasticNet 3.814697265625e-06 0.5 cv,0.6021876600760088,0.84437992869282,0.06863608956657184,0.9979783453408771
ElasticNet 9.5367431640625e-07 0.5 cv,0.6083785275951008,0.8411637367741582,0.025090193259523236,0.9997298469223719
ElasticNet 1.9073486328125e-06 0.5 cv,0.6025690186171319,0.8441827614667206,0.04220865552891556,0.9992354516699852
