,Lasso 0.00048828125 electrostatic_coef,Lasso 0.000244140625 electrostatic_coef,Lasso 0.0001220703125 electrostatic_coef,Lasso 6.103515625e-05 electrostatic_coef,Ridge 9.5367431640625e-07 electrostatic_coef,Ridge 1.9073486328125e-06 electrostatic_coef,ElasticNet 0.000244140625 0.5 electrostatic_coef,ElasticNet 6.103515625e-05 0.5 electrostatic_coef,PLS 1 electrostatic_coef,ElasticNet 0.0001220703125 0.5 electrostatic_coef,Ridge 3.814697265625e-06 electrostatic_coef,PLS 2 electrostatic_coef,PLS 3 electrostatic_coef,ElasticNet 0.00048828125 0.5 electrostatic_coef,PLS 4 electrostatic_coef,PLS 6 electrostatic_coef,Ridge 7.62939453125e-06 electrostatic_coef,PLS 5 electrostatic_coef,PLS 7 electrostatic_coef,PLS 8 electrostatic_coef,PLS 9 electrostatic_coef,Ridge 3.0517578125e-05 electrostatic_coef,Ridge 1.52587890625e-05 electrostatic_coef,Ridge 0.000244140625 electrostatic_coef,Ridge 0.0001220703125 electrostatic_coef,Ridge 6.103515625e-05 electrostatic_coef,Ridge 0.00048828125 electrostatic_coef,Lasso 3.0517578125e-05 electrostatic_coef,ElasticNet 3.0517578125e-05 0.5 electrostatic_coef,ElasticNet 1.52587890625e-05 0.5 electrostatic_coef,ElasticNet 7.62939453125e-06 0.5 electrostatic_coef,Lasso 1.52587890625e-05 electrostatic_coef,ElasticNet 3.814697265625e-06 0.5 electrostatic_coef,Lasso 7.62939453125e-06 electrostatic_coef,ElasticNet 1.9073486328125e-06 0.5 electrostatic_coef,ElasticNet 9.5367431640625e-07 0.5 electrostatic_coef,Lasso 3.814697265625e-06 electrostatic_coef,Lasso 1.9073486328125e-06 electrostatic_coef,Lasso 9.5367431640625e-07 electrostatic_coef
-6 1 1,-0.0,0.0,0.0,0.0,196.32828561674492,193.29877025901325,-0.0,0.028564723890553062,-1.8145048177226655,0.0,187.4888406230524,-1.5669712213942948,-1.256611679507909,-0.0,-0.43547207296161794,-4.5874571898701095,176.8686040595786,-3.2126698593237135,-1.799455532081542,8.274922413256832,30.959155278727444,135.2162070977601,159.438714752017,57.80463790666033,81.21085010894431,107.64685026403215,37.314037982411946,0.0,8.808617324178488,23.994084752104047,43.64923877633139,10.744185178376522,66.35548488758961,147.67150428855246,93.60565402778462,121.85026479672369,303.65783240737795,440.10466178916187,470.88449541516167
-6 1 2,0.0,0.0,0.0,0.0,90.09488370291693,89.10156155234549,9.378974232616471,16.061260515864404,6.510819569892245,13.233295163990139,86.61205323380057,11.134230629562103,10.732621229707565,5.76565757846795,15.210392627185433,26.337273512697084,80.89382192852555,25.66970800470443,21.551068868793806,25.677502137993972,29.93381050937114,53.36824586301674,69.88003259873219,13.989177945579703,20.730372441307846,35.0552464670749,14.064727564791177,0.0,15.802274572780679,14.27482920949125,11.77528606940437,72.88064990462632,14.782154032766762,108.7862737600593,26.309740708107366,43.37658642267651,86.8868490243408,73.28321700250542,122.31174677050349
-6 1 3,0.0,0.0,89.56285094939594,113.6640966346754,85.52516572886596,84.94052993856135,-0.0,3.653014455954159,-3.974068306830959,0.0,84.55898697881828,-1.0415875975467475,-5.065778759187619,-0.0,-3.2441808493466566,1.0760561924733274,84.93694628002683,-8.837435725878862,9.864714360899473,21.572911428212603,44.83869032714654,85.82378886426997,85.88401760780104,59.41610788886732,73.64890255586492,82.38872850253944,41.82258160631539,115.79680195199279,15.953204056540514,31.988141099105157,51.51133287767336,90.59411541535736,68.84829477707136,58.673396422352816,81.15154501315195,85.99393861164191,136.52440063405552,147.17443251856116,148.571397536563
-6 1 4,0.0,0.0,0.0,0.0,37.50793789401649,27.943639965911448,4.020919084406992,4.413385292413732,9.155385953339152,3.545426344234073,15.374608851431,14.036713594967562,12.064623959942525,3.9850576539151574,9.200183521149073,-3.8837446058160876,2.6547531712609844,1.9567040615362759,-3.924734837541097,3.5479986419730163,18.309404217621864,-7.713286611749562,-6.019619122761914,10.785952130335255,4.836260184345844,-2.8548970066150443,12.518002427193615,0.0,6.646275492863033,10.296559791085595,11.163012635341387,0.0,7.491563416328772,0.0,0.0,-0.2577327178159062,0.0,67.00904627432094,0.0
-6 1 5,0.0,0.0,0.0,0.0,126.78077128283292,115.95819864023575,13.778809887545252,6.497940398236627,16.39063737919358,11.306405381670505,100.26149339703748,24.807396512377693,24.420686726060353,13.371739669443276,21.459457586072748,2.2595040646319147,80.69772017310841,14.76210766429959,-7.573740157521798,-8.859906556769017,-10.792973108792607,39.336570734845566,59.598692692832735,0.40371207866330705,8.295068265842652,21.693655475191644,-1.7973270620020498,0.0,0.28549662338296744,0.0,0.0,0.0,2.6159392845298326,28.020208920428868,13.081641708159196,28.431628876694973,192.34587009070407,366.5657774681083,406.375910165071
-6 1 6,0.0,0.0,0.0,0.0,90.68015109625252,83.7554810499975,10.005328759608746,12.029031144473974,8.93607189738775,11.140384327345556,74.1801345216653,14.613327872941632,15.99526881812064,7.702106400535474,17.075532549464494,13.103328868427592,63.402857497521936,16.58591783019381,11.851162408679329,15.28210154470764,14.939186221520545,47.06214265837797,53.87377556367404,29.73582384492144,36.368992746192504,41.93380457016947,23.193793145302983,0.0,13.331375547966767,16.325804192323968,21.668539398250644,0.0,29.387444148522288,0.0,34.771301373495724,39.777496438236504,0.0,0.0,0.0
-6 2 1,-0.0,-0.0,0.0,0.0,87.19382623320736,90.18915865701435,0.0,0.3839761830339475,3.195001819573552,0.0,93.62009117399836,3.7948846525416293,3.4877703518543197,0.0,1.6403507326292759,-2.0335948291389108,95.84407201062002,0.18495991727192335,-2.160826082569452,5.710879173705206,22.62082287022032,87.73290845488117,94.46500309471551,46.26993742200088,61.48932027288672,76.00622995455169,31.434485703071726,0.0,6.742325062574969,19.23181002960794,34.11003790235896,0.0,50.110029549162014,0.0,65.56015982435478,79.11058556775286,0.0,32.03053822059221,0.0
-6 2 2,-0.0,-0.0,-45.01055376616607,-122.62087143510773,-219.97204044432283,-212.07304479143176,-3.6113506613330655,-21.301466692715884,1.810707624941791,-11.649718607495036,-200.069941431519,1.4850100254986536,-0.8430781770876785,-0.0,-7.326927089530721,-42.04266329635203,-183.5669052126265,-26.995594670722316,-51.09605071884879,-54.86754873176677,-49.622474732543395,-137.6257649010849,-162.57484185680363,-64.65708760312076,-85.28936133185435,-110.68480587865942,-49.6507630432029,-184.1804054346511,-32.16321453707125,-42.45152624006063,-55.88996252647347,-255.47245055796446,-73.9163528677024,-335.8934175533568,-96.97732143324109,-124.24376761548858,-348.53769584080743,-619.5501657898075,-489.4374145078048
-6 2 3,-0.0,-0.0,-0.0,-0.0,-271.9322186680497,-260.5071896951348,-0.6666713739754584,-22.18095335110188,3.249754883687653,-9.57077398207036,-242.93232257864616,4.540272077456765,1.1533975203196076,-0.0,-4.453037255877731,-35.353580984365394,-218.93011072072596,-21.38689494493936,-46.618107080761604,-61.68092030167604,-69.80118596186043,-159.42316819932688,-190.0457104441681,-86.05698185372907,-106.16027182492752,-130.64896489779656,-68.34604577018676,-0.0,-38.34191631247026,-56.48109739988266,-73.93628175316431,-43.303579151293825,-92.7349091060783,-96.00937702606349,-115.0393247268381,-142.9329487227211,-271.7366308127898,-286.1302322222127,-290.3236716673962
-6 2 4,0.0,0.0,0.0,0.0,97.59068783622331,94.38729008206339,7.18002349645169,0.3535531372762375,14.312671398212775,4.448527532960658,89.21020128847265,20.71646700657269,18.76973535636343,8.140933924397993,11.724601545661953,-1.736352351833859,81.17500232702602,2.706402057667857,-6.837783475537734,-6.347763028935224,-9.743302179753782,51.619641159182805,68.9078237502763,1.1124416249847462,13.071380955450685,31.370339078621203,-3.361424526862538,1.3577797162575966,0.0,-0.0,-0.0,138.39813976269372,4.752628920309955,199.32406632142087,20.41354855401626,41.16919000433639,109.86344148769024,58.906531146048856,0.0
