,Lasso 0.00048828125 electronic_coef,Lasso 0.00048828125 electrostatic_coef,Lasso 0.000244140625 electronic_coef,Lasso 0.000244140625 electrostatic_coef,Lasso 0.0001220703125 electronic_coef,Lasso 0.0001220703125 electrostatic_coef,Ridge 9.5367431640625e-07 electronic_coef,Ridge 9.5367431640625e-07 electrostatic_coef,Ridge 1.9073486328125e-06 electronic_coef,Ridge 1.9073486328125e-06 electrostatic_coef,Ridge 7.62939453125e-06 electronic_coef,Ridge 7.62939453125e-06 electrostatic_coef,Ridge 3.0517578125e-05 electronic_coef,Ridge 3.0517578125e-05 electrostatic_coef,PLS 1 electronic_coef,PLS 1 electrostatic_coef,PLS 2 electronic_coef,PLS 2 electrostatic_coef,Ridge 3.814697265625e-06 electronic_coef,Ridge 3.814697265625e-06 electrostatic_coef,Ridge 6.103515625e-05 electronic_coef,Ridge 6.103515625e-05 electrostatic_coef,Ridge 0.00048828125 electronic_coef,Ridge 0.00048828125 electrostatic_coef,PLS 3 electronic_coef,PLS 3 electrostatic_coef,PLS 4 electronic_coef,PLS 4 electrostatic_coef,Ridge 1.52587890625e-05 electronic_coef,Ridge 1.52587890625e-05 electrostatic_coef,Ridge 0.000244140625 electronic_coef,Ridge 0.000244140625 electrostatic_coef,Ridge 0.0001220703125 electronic_coef,Ridge 0.0001220703125 electrostatic_coef,PLS 5 electronic_coef,PLS 5 electrostatic_coef,ElasticNet 0.00048828125 0.5 electronic_coef,ElasticNet 0.00048828125 0.5 electrostatic_coef,PLS 7 electronic_coef,PLS 7 electrostatic_coef,PLS 6 electronic_coef,PLS 6 electrostatic_coef,PLS 8 electronic_coef,PLS 8 electrostatic_coef,PLS 9 electronic_coef,PLS 9 electrostatic_coef,ElasticNet 0.000244140625 0.5 electronic_coef,ElasticNet 0.000244140625 0.5 electrostatic_coef,ElasticNet 0.0001220703125 0.5 electronic_coef,ElasticNet 0.0001220703125 0.5 electrostatic_coef,Lasso 6.103515625e-05 electronic_coef,Lasso 6.103515625e-05 electrostatic_coef,ElasticNet 6.103515625e-05 0.5 electronic_coef,ElasticNet 6.103515625e-05 0.5 electrostatic_coef,Lasso 3.0517578125e-05 electronic_coef,Lasso 3.0517578125e-05 electrostatic_coef,ElasticNet 3.0517578125e-05 0.5 electronic_coef,ElasticNet 3.0517578125e-05 0.5 electrostatic_coef,ElasticNet 1.52587890625e-05 0.5 electronic_coef,ElasticNet 1.52587890625e-05 0.5 electrostatic_coef,Lasso 1.52587890625e-05 electronic_coef,Lasso 1.52587890625e-05 electrostatic_coef,ElasticNet 7.62939453125e-06 0.5 electronic_coef,ElasticNet 7.62939453125e-06 0.5 electrostatic_coef,Lasso 3.814697265625e-06 electronic_coef,Lasso 3.814697265625e-06 electrostatic_coef,Lasso 7.62939453125e-06 electronic_coef,Lasso 7.62939453125e-06 electrostatic_coef,Lasso 1.9073486328125e-06 electronic_coef,Lasso 1.9073486328125e-06 electrostatic_coef,Lasso 9.5367431640625e-07 electronic_coef,Lasso 9.5367431640625e-07 electrostatic_coef,ElasticNet 3.814697265625e-06 0.5 electronic_coef,ElasticNet 3.814697265625e-06 0.5 electrostatic_coef,ElasticNet 1.9073486328125e-06 0.5 electronic_coef,ElasticNet 1.9073486328125e-06 0.5 electrostatic_coef,ElasticNet 9.5367431640625e-07 0.5 electronic_coef,ElasticNet 9.5367431640625e-07 0.5 electrostatic_coef
-6 1 1,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.9043685345848462,-38.996717610039134,-1.9003148709156537,-38.61852193461812,-1.8777697449438129,-36.83398534790178,-1.798852704746431,-33.567393710231535,-0.011743755482733296,0.4620110913860419,-0.01083250674020463,0.542727105302591,-1.8925056362502486,-37.9401143625284,-1.7025919348143042,-31.91165410963951,-1.0244724917656958,-23.239335170073687,-0.05868407289207057,-0.7714639913129671,-0.15660999827016325,-3.7331128971960896,-1.8503337351423557,-35.29436773822616,-1.300696015660951,-27.24846363533619,-1.5376460610837386,-30.041205525655887,-0.22960250445803462,-5.9305552348740225,-0.0,-0.0,-0.43013665214396446,-11.237872247584221,-0.36758834551555175,-9.626267369661678,-0.4513563352061692,-11.497409753542954,-0.5004413805673306,-13.13625185269287,-0.08507547359926751,-0.1714117076733718,-0.2028850959797624,-3.405935676545038,-0.0,-0.0,-0.3670180789247103,-7.788224752269392,-0.0,-0.0,-0.5818614758585602,-12.756382590292022,-0.8707907135998952,-18.22234138842709,-0.0,-0.0,-1.1801964542892913,-23.24164201650988,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-1.4172183583420919,-25.706838029950973,-1.5971640807788765,-27.845623001600966,-1.7252283492848783,-28.594695265487697
-6 1 2,-0.0,0.0,-0.0,0.0,-0.0,-0.0,2.289536064254082,28.012951876549614,2.237460846856398,28.134393044950862,1.977325738479494,28.684863055140905,1.4136284801483492,29.39048805471276,-0.1537337101768671,-3.49567289429231,-0.06738720504457009,-1.672265004437198,2.1415656368977727,28.34877558148994,1.0974994794177308,29.139797998411193,0.5423729490500305,20.96424619290255,-0.11727515759573257,-2.8172172172307666,-0.2664393882781031,-7.22271771535635,1.7283286843252235,29.101795163005118,0.6711153706208358,25.09768117874166,0.8453203521764273,27.83927342359382,-0.23405206300343154,-6.050310463035245,-0.01789662033483193,-0.0,0.26549708581300635,9.140690765380878,0.11633192472191946,4.085753031809825,0.33072946664136227,12.21523974127017,0.44534328722159444,16.366462512955547,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.06741068568608342,4.637645283423714,-0.0,-0.0,0.23818134029417654,10.98621177074982,0.36154431058906633,16.582768487489595,0.0,0.0,0.48630829490981453,21.663432614980177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6775900629703159,25.60348256326552,0.9453093095681863,27.823240819001814,1.1839513927072327,26.869444648862515
-6 1 3,-0.0,-0.0,-0.0,-0.0,-0.31389350835199636,-17.419517108165074,-0.6510308949579429,-100.28792543011188,-0.6703504778764398,-98.95742616814067,-0.7595568217472307,-92.13457366169794,-0.8965885650218542,-75.86167034747305,-0.31241651564319506,-6.941935219657966,-0.2502696289540795,-5.589472306545005,-0.7047106012775093,-96.47837643453732,-0.9175882945494164,-65.07762034849208,-0.6864047953450743,-37.85961624268171,-0.3856451646324447,-9.593825119532582,-0.5134659809453155,-14.978782618923402,-0.8313966871684493,-85.25891720175997,-0.7846670690243154,-45.37074743896578,-0.8746084776953156,-54.55120358725427,-0.615908946472435,-19.541059205578364,-0.3698354402342906,-9.657960288121561,-0.6169669479639867,-27.365952959669162,-0.5797175021030211,-23.52886366169059,-0.6295223787509113,-29.029524126875145,-0.5164679021981426,-28.458220967552926,-0.43803397088245066,-14.113179080024638,-0.47114857527707676,-18.77973736346024,-0.7951423861342405,-104.27764396600925,-0.47031067900410717,-23.10672517293581,-3.0482664484796693,-0.0,-0.48601254493114027,-27.653631293116852,-0.5749429610050861,-33.923852972125815,-3.9550532780407384,-21.751655872553926,-0.7055853357794055,-41.152678776930024,-0.0,-0.0,-0.8305806575247796,-0.0,-0.0,-0.0,-0.0,-0.0,-0.8236396680296693,-50.11919693950845,-0.8895672440956164,-59.862800196989795,-0.8517637634882064,-71.69157737504351
-6 1 4,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.5848493544305393,-140.33021795981705,-0.5723875267138502,-138.38987711775505,-0.5072321830427239,-128.23926505165392,-0.3416736891262312,-102.44223016747354,0.07792602895584345,4.21853023692161,0.19163193117928248,6.768520870197719,-0.5489623399001086,-134.7414740962329,-0.22218009696108998,-83.8610271024458,0.06481054476235501,-32.654524669310426,0.2130623765528232,7.60450273856867,0.0798316510367424,7.36979498445941,-0.4392066945537332,-117.63577765242053,0.003230934521471745,-46.94847669023713,-0.09909174004496828,-64.50040522299892,0.03363518301459565,4.905933692533771,0.020471393093341603,1.2128042904159735,0.09332031089107545,-7.790153429478996,0.04430028936991485,-2.7970361834276782,0.08385418786278792,-10.750018818822358,0.08713091592625194,-13.99754292968173,0.02192893487565414,0.0,0.026915255827950384,-0.0,0.0,-0.0,0.02732171461627764,-3.9473226951470246,-0.0,-160.720757387709,0.023360202718868076,-13.13130801123912,0.01729766678007993,-24.618625708936023,-0.0,-202.08674299121813,0.0,-39.139774072907535,-0.0,-193.4305877442197,-0.0,-174.77324011732827,-0.0,-153.23330497427395,-0.5126955259006426,-87.21810876328453,0.0,-56.90411239824014,-0.004504701791202509,-77.55418114567655,-0.17103118357448513,-97.65316558662629
-6 1 5,0.0,0.0,0.0,0.0,0.0,0.0,1.1536962484105242,-91.81239341292157,1.1403890297956274,-90.11667565342528,1.066594740612067,-81.39119236275455,0.8463401337623117,-60.47999969170221,0.18900666477734818,8.55243458602474,0.33158138752808186,12.346655662885043,1.1146792290410084,-86.95183127920394,0.6588183870161715,-46.78070420746611,0.07979434603731313,-15.148793150557362,0.3629106886568106,15.354368677086065,0.20562908179369238,18.186675386108167,0.9818174848858866,-72.55958780534334,0.23669529003066042,-23.467291172841378,0.4420937060705905,-33.936522393566634,0.06603620828202848,17.49696269282895,0.13543210032884415,11.791863641042411,-0.02861612216133959,9.976348989115195,-0.1222594036890766,12.553589934448933,-0.0738307933858104,6.040594332978156,-0.08601146192731701,0.009952220803300143,0.06866367726273755,10.81643666743521,0.0,7.089600920810661,0.0,-0.0,0.0,0.6571004801299796,0.0,-0.0,0.0,-0.0,0.0,-8.291194568282327,-0.0,-0.0,0.04976748200213838,-18.440102878691548,-0.0,-0.0,-0.0,-0.0,-0.0,-25.459110210578334,-0.0,-96.43730546733117,0.2492228614911055,-29.635934767929633,0.4819464479166139,-41.28571462390988,0.6584859215652833,-56.04646962244939
-6 1 6,0.0,0.0,0.0,0.0,0.0,0.0,2.4747531109523537,-66.19257321556438,2.4212373146616444,-64.54672644786928,2.147400957481646,-56.138366155682405,1.4973787281225146,-36.60932586632517,0.03201722382918261,4.009867364135565,0.0977140240744659,5.538981986193642,2.321628471601812,-61.48452908160487,1.068495253293346,-24.686565582293404,0.056781748141886884,-4.8543405713537595,0.051820236192079136,6.560203563889423,-0.17814593995211125,8.771115016502526,1.8723166380413363,-47.758392249972715,0.3103364977378112,-8.433039998749837,0.6549590452838866,-14.79726777916207,-0.3479936952352865,8.17792341396295,-0.0,3.154433633721963,-0.39885874185521697,5.723770653281502,-0.5225508463518557,6.446914955008865,-0.3695417590326139,3.5127888910485483,-0.2946235810225741,0.40000568299431705,-0.027001754804895015,2.972400960662825,-0.09104465061642163,1.8090169585665656,0.0,-0.0,-0.09370463844535787,0.0,0.0,-0.0,-0.03922975635753696,0.0,-0.0,-0.0,0.0,-0.0,0.09198403054410796,-2.0610351224823185,1.0883853580786362,-0.0,0.0,-0.0,2.506564385598507,-0.0,0.0,-0.0,0.4402477597914336,-7.4741155220926005,0.8641127677097098,-17.66837145372119,1.245067433361145,-30.171235041202145
-6 2 1,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-2.476141601914987,-36.96262383492584,-2.4370501518967225,-36.37440541288196,-2.2423787462558975,-33.35283685596611,-1.8192157921003187,-26.076197669275075,-0.010296170813360116,0.25818867580939164,-0.01234757815714335,0.37735423885804203,-2.365183475740863,-35.277671979691014,-1.5699047045750383,-21.162572295859164,-0.9502478961559775,-8.965899661984832,-0.0642307100680098,-0.42123684070169903,-0.1756973217801791,-2.6222708747467163,-2.056389738399473,-30.293948455839114,-1.1397675170787112,-12.126571073953611,-1.3423673791599202,-16.30255117097758,-0.2790407235404731,-3.9975529456806935,-0.02318206997193059,-0.0,-0.5930719218606284,-6.664346650322681,-0.49258392800106854,-5.984965399516257,-0.6384886331131432,-6.483639348361583,-0.6660311163742423,-5.969155970432522,-0.14892619686152597,-0.0,-0.29553209579491047,-0.0,-0.0,-0.0,-0.4582430019442098,-1.087431389847511,-0.0,-0.0,-0.6438200236779605,-2.5654147139237415,-0.8384235092512465,-4.243296542061343,-0.0,-0.0,-1.015689464145545,-6.729195928339595,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.195189662236324,-10.15412844425817,-1.3922835472579604,-14.739143767828532,-1.6596451314874303,-20.68988544127511
-6 2 2,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.674234802276959,-10.13726883066382,-0.6495486693938047,-9.587978663312928,-0.5303151563563829,-6.89446318115007,-0.3042477655001869,-1.4649985611844956,0.008419063689509771,0.07384772601435573,0.03404352190776587,0.5466767691448059,-0.6047659805837006,-8.584825455824621,-0.20946637813169092,1.1265251918676022,-0.15947752590130726,1.920138323853579,0.017085902717630202,-0.05047068301987789,-0.060104539577994574,-2.422528222176855,-0.4239001835969677,-4.411900686992854,-0.15711151969173134,2.745371224937737,-0.16446775154965934,2.5903513042687245,-0.10314158812312772,-3.231063665722492,-0.0,-0.0,-0.17607780405565063,-3.2482928388165626,-0.16252321598461242,-3.658651355371974,-0.18544608534027152,-2.5160403136315086,-0.20410228450293771,-1.1119641257191741,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.024432291823163955,-0.0,-0.0,-0.0,-0.05191522659902437,-0.0,-0.08577073290885813,0.0,-0.0,-0.0,-0.08523946937635425,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.05127609891105718,0.0,-0.044409415131418266,0.0,-0.1719622949328862,-0.0
-6 2 3,0.0,0.0,0.0,0.0,0.0,0.0,0.44477645462881515,-61.37325930784477,0.4408664967746011,-60.54926401320214,0.42820355801287663,-56.231180560121274,0.4506916119840768,-45.059021042303776,0.15890799793638588,3.668556526389136,0.28314398222564197,6.13358307804175,0.4348185321651841,-58.99910442799684,0.506268303624973,-36.58359675933381,0.7261275516366855,-8.139026779508823,0.4063528448728866,8.498608922393638,0.43645515679122066,8.23612532071754,0.42846501472595183,-51.68883077236061,0.6643541138859419,-17.177774661875954,0.5853602501754099,-26.985877065442214,0.5532456804867032,9.367190369589576,0.35922545974366143,5.028387318776581,0.9549050482734729,11.167869956301505,0.8271459643647099,11.027590850913963,0.9733513350128864,11.090753818710379,0.9981010287239788,10.420336790785404,0.49257166642898603,6.023380182462678,0.6269313718939683,6.023623626609651,0.0,-0.0,0.7330890805375889,4.062527759354604,0.0,-0.0,0.7485007211084399,0.0,0.7067464805414254,-0.0,0.0,-0.0,0.6433301290104365,-8.772975714397552,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.5616257666273423,-19.25814644558516,0.475397574158005,-29.40705641849499,0.40176862845534195,-38.26675038611041
-6 2 4,-0.0,0.0,-0.0,0.0,-0.0,0.0,-2.013592509066866,-31.65035141614156,-1.9564844704594764,-30.55505962857666,-1.6704001912392195,-24.97576095604783,-1.0431700662435655,-11.992533416834908,0.19404243345244973,8.296394388417717,0.2977691332688891,11.722555210320909,-1.8511898787308552,-28.520373663659875,-0.681963194963745,-3.7766863302987477,-0.003802099009577985,13.618052857366063,0.3276930159609807,15.423843374028337,0.18695364606272774,19.629297232857045,-1.394931806284213,-19.426007844503182,-0.15848066319974535,9.503171354835208,-0.38030571429779414,3.698795102505472,0.14001062895059804,21.587222502445925,0.14890167404967988,13.705783951796972,0.13010944899025254,22.83533672871207,0.12537668190361836,22.34932648803006,0.06563406845181,21.731305641775467,0.08711387395778954,21.94290166723895,0.1149286030964013,15.944607838663975,0.07033376267806478,17.16825264730735,-0.0,-0.0,0.035372404780053344,16.639712995974588,-0.0,-0.0,0.0,14.87870456262177,0.0,11.867446432904998,-0.0,-0.0,-0.0,7.759667947633568,-0.0,0.0,-1.1896763488483049,0.0,-0.0,0.0,-0.0,-0.0,-0.18334518110665712,1.9411667970982391,-0.4263600886886787,-0.0,-0.8036898742871665,-5.640795333934217
