,cv_RMSE,cv_r2,regression_RMSE,regression_r2
Lasso 0.00048828125 cv,0.8442274311560439,0.8328902208711078,0.537686613469595,0.9322137834391795
Lasso 0.000244140625 cv,0.8564598251021256,0.8280124784482601,0.4141183044077348,0.9597902103982974
Lasso 0.0001220703125 cv,0.8389636945798035,0.8349675749449683,0.30803282961130846,0.9777527181433461
Ridge 9.5367431640625e-07 cv,1.357130485923953,0.5681567266547192,0.004534888481225547,0.9999951781225356
Ridge 1.9073486328125e-06 cv,1.3407668343245023,0.5785078763064728,0.008839231953112243,0.999981680567861
Ridge 7.62939453125e-06 cv,1.2606321709082249,0.627385528124679,0.030735263821248516,0.999778508615929
Ridge 3.0517578125e-05 cv,1.0890778133711443,0.7219001415585636,0.08220276375131746,0.9984156330117253
PLS 1 cv,1.290125964238205,0.6097461666736115,1.1486431800425037,0.6906477899179035
PLS 2 cv,1.1344793931852022,0.6982299256899758,0.9992919138674738,0.7658642705463778
Ridge 3.814697265625e-06 cv,1.3109007826372654,0.5970765054994338,0.016828227488167636,0.9999336012818955
Ridge 6.103515625e-05 cv,0.9984420570781922,0.7662623468713889,0.11690211933773008,0.9967957402414146
Ridge 0.00048828125 cv,0.8136146852217732,0.844789712338488,0.24326946892674509,0.9861241958786472
PLS 3 cv,1.0190631940147703,0.7565077297769471,0.8380759123384165,0.8353166611760147
PLS 4 cv,0.9452010291102177,0.7905254249828471,0.7024210596314916,0.8843147487448249
Ridge 1.52587890625e-05 cv,1.184089467252264,0.671260430307816,0.05255167485721512,0.9993524757014993
Ridge 0.000244140625 cv,0.8545370702256613,0.8287838366281195,0.1950691284302896,0.991078044896802
Ridge 0.0001220703125 cv,0.9149540297697021,0.8037175388393909,0.1541513182423064,0.99442843203854
PLS 5 cv,0.9033607196101373,0.8086601843391094,0.6159567757889394,0.9110423256672333
ElasticNet 0.00048828125 0.5 cv,0.9843188949280026,0.7728281105806807,0.7832420458351854,0.8561615704804917
PLS 7 cv,0.8368177008202521,0.8358107713876618,0.42454745950237194,0.9577394213621848
PLS 6 cv,0.8625377353100934,0.8255627807932719,0.4792611146364025,0.9461448384082052
PLS 8 cv,0.8041972648833289,0.848361971351338,0.3923679286326849,0.9639030963714271
PLS 9 cv,0.8012300178472677,0.8494789047828132,0.3603656623073117,0.9695512302001044
ElasticNet 0.000244140625 0.5 cv,0.9036301980228785,0.808546011474754,0.6493140945242473,0.9011463734250076
ElasticNet 0.0001220703125 0.5 cv,0.8404079711273008,0.8343988790059583,0.5279199610420372,0.9346539842672126
Lasso 6.103515625e-05 cv,0.8908464928436125,0.8139247138553245,0.24344638801709775,0.9861040060264485
ElasticNet 6.103515625e-05 0.5 cv,0.8015310637501438,0.8493657730456983,0.4245007831593116,0.9577487134249988
Lasso 3.0517578125e-05 cv,0.985378051437086,0.7723389600854799,0.18511182553080482,0.9919656402521434
ElasticNet 3.0517578125e-05 0.5 cv,0.7922437670321291,0.85283633044379,0.34087213662064664,0.9727563086119473
ElasticNet 1.52587890625e-05 0.5 cv,0.7985069812346478,0.8505002792958589,0.27345482236478835,0.9824670853179823
Lasso 1.52587890625e-05 cv,1.1786969842866246,0.6742478497300208,0.13280435558089038,0.9958646946431489
ElasticNet 7.62939453125e-06 0.5 cv,0.830326602736956,0.8383480859427179,0.21865047211406796,0.9887905633937418
Lasso 3.814697265625e-06 cv,1.5086628427721167,0.4663367034268814,0.043204232796809204,0.9995623413247973
Lasso 7.62939453125e-06 cv,1.3867075424904804,0.5491285852897149,0.0788374654286373,0.9985427023871772
Lasso 1.9073486328125e-06 cv,1.439879072614457,0.5138895181822556,0.021644888381101,0.9998901516222705
Lasso 9.5367431640625e-07 cv,1.488383540064252,0.48058718131316924,0.011737066700246893,0.9999677000320323
ElasticNet 3.814697265625e-06 0.5 cv,0.8788306900037756,0.8189104557444377,0.1735842010662634,0.9929351436427744
ElasticNet 1.9073486328125e-06 0.5 cv,0.9564144027056941,0.7855257481760693,0.1342691541647943,0.9957729688086496
ElasticNet 9.5367431640625e-07 0.5 cv,1.0561686277864644,0.7384531627612477,0.09773824030322573,0.9977601858824813
