,cv_RMSE,cv_r2,regression_RMSE,regression_r2
Lasso 0.00048828125 cv,0.6797279691205342,0.7555920314500634,0.44595081959795385,0.894799207049408
Lasso 0.000244140625 cv,0.5934892962790714,0.8136751149534918,0.3249102743428996,0.9441565848356424
Ridge 9.5367431640625e-07 cv,0.6945748466764213,0.7447985228069234,0.001169413673803109,0.9999992765951505
Lasso 0.0001220703125 cv,0.5696077266339292,0.828368568777312,0.23787650666201626,0.9700671420611257
Ridge 7.62939453125e-06 cv,0.6894897332107566,0.7485216003611146,0.008083813120721709,0.9999654317327742
Ridge 1.52587890625e-05 cv,0.6856044003784975,0.75134781887988,0.014332064689337929,0.9998913417765927
Ridge 1.9073486328125e-06 cv,0.6937263582938927,0.7454216470977728,0.0022828301524039324,0.9999972432823877
Ridge 3.814697265625e-06 cv,0.6921473569493238,0.7465792276935421,0.00436608493197337,0.999989916078882
PLS 2 cv,0.7102132885748794,0.7331773651797374,0.6094755715287187,0.8035022024102763
Ridge 0.000244140625 cv,0.6578618523904032,0.7710637906669452,0.09252863382295205,0.9954710515206519
PLS 1 cv,0.7765298944033556,0.6810214792700976,0.7070307549224502,0.7355633228003011
PLS 3 cv,0.6744733354328698,0.7593562146673875,0.5101399013324464,0.8623349591047778
PLS 4 cv,0.6509001731849121,0.7758834880717717,0.4166123447874101,0.9081859067481126
PLS 5 cv,0.6447671545795813,0.7800870056717721,0.3553401646936254,0.9332065803105796
PLS 6 cv,0.6440186990915774,0.7805972660164051,0.317728623287169,0.9465979704943598
PLS 7 cv,0.6454442597989206,0.7796248778433326,0.27613001358509903,0.9596659057320064
PLS 8 cv,0.6616315831297437,0.7684325374427177,0.23836197607101559,0.9699448406592464
Ridge 6.103515625e-05 cv,0.6735233169558529,0.7600336470393859,0.039290106033628536,0.9991833960390026
Ridge 3.0517578125e-05 cv,0.6803103871424948,0.7551730150299205,0.024249776374361716,0.9996889282614428
Ridge 0.0001220703125 cv,0.6658188066354522,0.7654922518012452,0.0612414022783667,0.9980160289379798
Ridge 0.00048828125 cv,0.648915395847513,0.7772481925210676,0.1358413401552448,0.9902386699937259
PLS 9 cv,0.6820476963426982,0.7539209886687992,0.2045847290083816,0.9778592918740727
ElasticNet 0.00048828125 0.5 cv,0.6640221351319421,0.7667561539713317,0.5313069969603125,0.8506737526817592
ElasticNet 0.000244140625 0.5 cv,0.6300621067249168,0.7900036228026381,0.4463577525736909,0.8946071266589579
Lasso 6.103515625e-05 cv,0.6314437333314102,0.7890816353009799,0.1650895181919734,0.9855826951839737
ElasticNet 0.0001220703125 0.5 cv,0.6132183029540883,0.801081443825861,0.36896272355851933,0.9279871393351743
Lasso 3.0517578125e-05 cv,0.6873419670767406,0.7500858747225897,0.10148245792014725,0.9945521262430496
ElasticNet 6.103515625e-05 0.5 cv,0.612778610497129,0.8013666004551768,0.29775123981920054,0.9531022251275596
Lasso 1.52587890625e-05 cv,0.6940415063030427,0.7451902933841459,0.0662135831375767,0.9976807943464134
ElasticNet 3.0517578125e-05 0.5 cv,0.6237430413097812,0.7941947223885785,0.22958640831486124,0.972117132927314
Lasso 7.62939453125e-06 cv,0.7383959381013483,0.711581125069761,0.04412754875024269,0.9989699348660066
ElasticNet 1.52587890625e-05 0.5 cv,0.6393626355414503,0.7837582310988557,0.16635364025308305,0.9853610577313932
Lasso 3.814697265625e-06 cv,0.8230801506981894,0.6416319056605544,0.024775453207083457,0.9996752955088231
Lasso 1.9073486328125e-06 cv,0.9000199101833336,0.571501491673897,0.013967045774198168,0.9998968060602358
Lasso 9.5367431640625e-07 cv,0.9471030290742931,0.525496378224133,0.00738629823926271,0.9999711398383626
ElasticNet 1.9073486328125e-06 0.5 cv,0.6756466134943657,0.7585182641279865,0.04919026376398223,0.9987200194125694
ElasticNet 9.5367431640625e-07 0.5 cv,0.6881228681055942,0.7495176886719784,0.03115807756952575,0.9994864456776775
ElasticNet 3.814697265625e-06 0.5 cv,0.6647887876806865,0.7662172556216296,0.07605737425954931,0.9969399555385268
ElasticNet 7.62939453125e-06 0.5 cv,0.651880458541713,0.7752079203530172,0.11438418738545522,0.9930788691054716
