,Lasso 0.00048828125 electronic_coef,Lasso 0.000244140625 electronic_coef,Lasso 0.0001220703125 electronic_coef,Ridge 9.5367431640625e-07 electronic_coef,Lasso 6.103515625e-05 electronic_coef,Ridge 1.9073486328125e-06 electronic_coef,Ridge 3.814697265625e-06 electronic_coef,PLS 1 electronic_coef,ElasticNet 0.00048828125 0.5 electronic_coef,PLS 2 electronic_coef,PLS 3 electronic_coef,ElasticNet 0.000244140625 0.5 electronic_coef,PLS 4 electronic_coef,PLS 5 electronic_coef,Ridge 1.52587890625e-05 electronic_coef,Ridge 7.62939453125e-06 electronic_coef,PLS 6 electronic_coef,PLS 7 electronic_coef,PLS 8 electronic_coef,PLS 9 electronic_coef,Ridge 0.0001220703125 electronic_coef,Ridge 3.0517578125e-05 electronic_coef,Ridge 0.000244140625 electronic_coef,Ridge 6.103515625e-05 electronic_coef,Ridge 0.00048828125 electronic_coef,ElasticNet 0.0001220703125 0.5 electronic_coef,ElasticNet 6.103515625e-05 0.5 electronic_coef,Lasso 3.0517578125e-05 electronic_coef,ElasticNet 3.0517578125e-05 0.5 electronic_coef,Lasso 1.52587890625e-05 electronic_coef,ElasticNet 1.52587890625e-05 0.5 electronic_coef,ElasticNet 7.62939453125e-06 0.5 electronic_coef,Lasso 7.62939453125e-06 electronic_coef,ElasticNet 3.814697265625e-06 0.5 electronic_coef,ElasticNet 1.9073486328125e-06 0.5 electronic_coef,Lasso 3.814697265625e-06 electronic_coef,Lasso 1.9073486328125e-06 electronic_coef,Lasso 9.5367431640625e-07 electronic_coef,ElasticNet 9.5367431640625e-07 0.5 electronic_coef
-6 1 1,-0.0,-0.0,-0.0,-0.7369810237527267,-0.7106996249046261,-0.8236811138316485,-0.9351380294479994,-0.056758725235043356,-0.07733367410256928,-0.13172633912842213,-0.37137623105362916,-0.18753564433047465,-0.48122845718115964,-0.6623596764211211,-1.1052227871028777,-1.0421680507858264,-0.8672856463085289,-1.0158027690424336,-0.9837454383348586,-0.8685363795079551,-1.01426694841495,-1.1069826091587784,-0.9428337563783221,-1.067481383017085,-0.835772633303157,-0.3068102826684222,-0.44690004843688136,-2.1463156157026693,-0.600765925209178,-0.5485045964247006,-0.7757927784445974,-0.9046242513615075,-0.0,-0.97597138985366,-1.0854599001930094,-0.6781461949082294,-2.089482354602219,-2.570190811549656,-1.14379566142664
-6 1 2,-0.0,-0.0,0.0,2.6733290795731217,0.0,2.5613168242914037,2.4084056812040875,-0.0716310432905255,0.0,0.06016611288844538,0.1984834406611766,0.054817516499682764,0.1928079400649156,0.8601145076110023,2.074455179337924,2.236477992095264,1.1380913848074596,1.5974552499847656,1.9118171245960034,2.2703975429033547,1.7013335167739931,1.933917348798593,1.5741145376021657,1.8118322617409057,1.380089424561378,0.2547846207472151,0.49851473806119506,1.5631074228267225,0.8381829975138905,2.334760812590984,1.1857121202166074,1.4480234540826993,1.4587403193414796,1.6087939536756772,1.7288784087174636,0.958571393859209,0.0,0.35730056268981014,1.8659175073507217
-6 1 3,-0.7715061844252362,-0.5737585555386586,-0.10031387575951088,-6.214806594057015,-0.0,-6.019263411212145,-5.713799770014556,-0.30979441055762086,-0.3269870255898774,-0.3905591760389212,-0.34143320283446615,-0.3264355345371726,-0.4676722199214441,-0.1733959369064276,-4.721158222640263,-5.282231174541851,-0.20565672187810577,-0.50035310077096,-0.7552604160322633,-0.9748697812155723,-2.480302313996679,-4.038196456632659,-1.7582568730030705,-3.2673869450498985,-1.1618036047190436,-0.3349206757959953,-0.4123967159871691,-1.0890820741906335,-0.5654717090717912,-2.5472659379824685,-0.9139710317099319,-1.481605551773125,-2.918316730780653,-2.2125175207889924,-2.9988982410489835,-3.8253860523292955,-2.843369307837183,-3.3838065445958563,-3.7939090113930294
-6 1 4,-0.0,-0.0,-0.0,-1.3206655443374689,-0.218765363535982,-1.4332412813336124,-1.6120339074012557,-0.11128048607684957,-0.01195441001137198,-0.07175080479108409,-0.11981020058352405,-0.04855166359146624,-0.21716221672591066,-0.2365777457580202,-2.1406341435260456,-1.8601143085368788,-0.5204700517744261,-1.224473058829026,-1.6925595168108205,-1.96310594641031,-2.2382358298317873,-2.360267088189325,-1.886923447496388,-2.4083923395632754,-1.4357187863359766,-0.1585972222455669,-0.3986823560402008,-1.6542341446729016,-0.7541075315575946,-3.284873952701681,-1.2017357527374215,-1.7088429787926585,-3.684383375774531,-2.1065680691586732,-2.356168563215509,-1.609646290426902,-0.0,0.0,-2.3891774040873806
-6 1 5,0.0,0.0,0.0,-0.8774146387809797,0.0,-0.7111824333558773,-0.47707369472008987,0.06731693652656291,0.23141296798930303,0.4891621540266972,0.5540400390721291,0.31212943296591455,0.48175858022053164,0.5178861613336072,0.05194852791491433,-0.20373692306499164,0.24929097036035439,0.18106679900893316,0.15149887170459206,0.11849564651332523,0.29835898500718705,0.23159252353036652,0.27808039679609453,0.30544289674603453,0.2946831202903781,0.36599358345765737,0.33154469168685946,0.0,0.26378348822363873,-0.0,0.22461720788452663,0.21373414796948054,-0.0,0.2145559564294703,0.24808089576029843,0.0,0.0,0.0,0.20962360104293284
-6 1 6,0.0,0.0,0.2684091731838244,3.3607723740754025,2.035907734650127,3.2265088063160676,3.0437111693328185,0.006043991053835903,0.14850896267577787,0.31180459203378136,0.4582937664542373,0.2672205106397487,0.4755694525551977,0.7850405292546343,2.645932861619819,2.839213355122204,0.8067159580308935,1.24879414307066,1.5693797598775598,1.7919045671826304,2.048776901287097,2.467517645703537,1.7649031479287183,2.2779568676115485,1.4353284714610797,0.42655043892760924,0.6346915388853076,1.069784895187051,0.9245401198210957,0.6805246484397909,1.2885724221357666,1.6343390631024508,1.2416395772189706,1.94382251924265,2.180149028854008,1.9345987715177615,1.5288522644949005,0.2951916340201421,2.3710231261839367
-6 2 1,-0.0,-0.0,0.0,-0.29266596361527253,0.0,-0.3605231899562964,-0.423248886242949,-0.0396856736836005,-0.0,-0.07388500870338786,-0.24280528031371376,-0.04669489536366714,-0.31465171038622824,-0.35054442670280267,-0.3218207075928464,-0.42719789753217297,-0.4360758417932602,-0.40159825297066926,-0.24047768605952566,0.155561701952289,0.2911747459701443,-0.11416581739417934,0.31245431218579534,0.12324918472966107,0.18554232086928524,-0.08757565752657072,-0.07982540267701502,0.0,-0.0,0.0,0.0,0.17161282202845787,0.0,0.24192629413318545,0.12231949950729029,0.0,0.0,-0.0,0.0
-6 2 2,-0.011992510524648314,-0.8839012625290471,-0.26970979687878804,1.3204637363629657,-0.0,1.1590376160131866,0.9281954586107638,-0.10256193609424284,-0.1883126501488537,-0.1794550204638636,-0.5561248588302583,-0.33699386158967615,-0.7127193025198216,-0.8255251350374823,0.3508729782878658,0.6472313420031595,-1.0191419825169457,-1.387345197236561,-1.3849347341744118,-1.0099411673853904,-0.4944037999977272,0.06000210027788932,-0.707796025342742,-0.22494423067108701,-0.8227840041107084,-0.5123743431322437,-0.6924397685697609,-0.0,-0.8009727574289254,0.0,-0.7872512262534767,-0.6633910396000013,0.9489087363192857,-0.4606474107301543,-0.18660219754673035,2.1587648742591656,2.7796205541132104,2.611987375634392,-0.0
-6 2 3,-0.0,-0.0,-0.0,1.0100011580850397,0.0,0.9479356101882601,0.8479760836375485,-0.036187716400974124,0.0,0.13045346339623018,0.05336565603613448,0.0,-0.016643076565724658,0.1590632287699815,0.4754902438556212,0.6968497935704208,-0.1534444473301375,-0.9461116733481609,-1.385243797049245,-1.5194141379879615,-0.5786746531745387,0.1653605438744567,-0.7989138268997478,-0.21531061178243016,-0.7957470595784565,-0.0,-0.127483035783103,0.0,-0.41869187456530504,0.0,-0.701047562984753,-0.785271074850214,0.0,-0.6370587269694271,-0.26031099066316404,0.0,0.0,1.1962377972493694,0.026825434461513118
-6 2 4,-0.0,-0.0,-0.0,-0.14251538185290782,-0.0,-0.26396699052766665,-0.42706205805858866,0.09204426400862815,0.13882627175921453,0.4361248669315974,0.3675538754650749,0.1370138211003917,0.2531028136107642,0.06290926258766025,-0.7588386198870204,-0.6039462265122411,-0.2849238910436121,-0.8585767923612636,-1.1994745460700929,-1.398583542631586,-0.9799962421509579,-0.8764718867156005,-0.917489900884497,-0.9552773630415062,-0.7424179831314787,0.037143333608538456,-0.0,-0.0,-0.22434323832913408,-0.0,-0.5614592799195166,-0.7834197819952622,-0.0,-0.8458275916672039,-0.8783480725318145,-0.0,-0.0,0.0,-0.8057316680873918
