,Lasso 0.00048828125 electrostatic_coef,Lasso 0.000244140625 electrostatic_coef,Lasso 0.0001220703125 electrostatic_coef,Lasso 6.103515625e-05 electrostatic_coef,Ridge 1.9073486328125e-06 electrostatic_coef,ElasticNet 0.0001220703125 0.5 electrostatic_coef,ElasticNet 0.000244140625 0.5 electrostatic_coef,ElasticNet 0.00048828125 0.5 electrostatic_coef,Ridge 1.52587890625e-05 electrostatic_coef,Ridge 3.814697265625e-06 electrostatic_coef,Ridge 9.5367431640625e-07 electrostatic_coef,ElasticNet 6.103515625e-05 0.5 electrostatic_coef,PLS 2 electrostatic_coef,PLS 1 electrostatic_coef,PLS 3 electrostatic_coef,PLS 4 electrostatic_coef,PLS 7 electrostatic_coef,PLS 5 electrostatic_coef,PLS 8 electrostatic_coef,PLS 6 electrostatic_coef,PLS 9 electrostatic_coef,Ridge 3.0517578125e-05 electrostatic_coef,Ridge 7.62939453125e-06 electrostatic_coef,ElasticNet 3.0517578125e-05 0.5 electrostatic_coef,Ridge 0.0001220703125 electrostatic_coef,Ridge 0.00048828125 electrostatic_coef,Ridge 6.103515625e-05 electrostatic_coef,Ridge 0.000244140625 electrostatic_coef,Lasso 3.0517578125e-05 electrostatic_coef,ElasticNet 1.52587890625e-05 0.5 electrostatic_coef,ElasticNet 7.62939453125e-06 0.5 electrostatic_coef,Lasso 1.52587890625e-05 electrostatic_coef,ElasticNet 3.814697265625e-06 0.5 electrostatic_coef,Lasso 7.62939453125e-06 electrostatic_coef,ElasticNet 1.9073486328125e-06 0.5 electrostatic_coef,Lasso 3.814697265625e-06 electrostatic_coef,Lasso 1.9073486328125e-06 electrostatic_coef,Lasso 9.5367431640625e-07 electrostatic_coef,ElasticNet 9.5367431640625e-07 0.5 electrostatic_coef
-6 1 1,-0.0,0.0,0.0,0.0,14.238547742538337,4.263327015088036,0.15591841236792073,0.0,24.37397885551714,16.75743994309268,12.575659384092464,9.124234435691216,0.15672101131767924,-0.4309609977946149,2.2524465105845324,5.641831307971747,22.052620729109726,10.616875704988132,28.03761011836828,18.02983397286562,37.188246290474694,28.952366045509205,20.176667354870414,15.216396428766604,34.89984757590888,28.60413243670578,32.9617911747472,33.46490689569792,6.066472686239564,23.235433333059632,30.58964145337899,7.931697194874966,34.159685187280374,0.0,34.298296933088466,0.0,0.0,-0.0,30.623210206191093
-6 1 2,-0.0,-0.0,-0.0,0.0,5.7177667964705385,0.0,0.0,0.0,17.161704334476564,7.9756851498706975,4.590798341697326,0.5382595777742147,2.9614164086449386,0.15649901221768492,1.6249053584256388,-4.882715038801477,9.925818562924988,-0.99137440695725,21.73045361184915,6.660143619969046,38.41226723880203,22.67117707337823,11.857435442719432,5.999694713516895,28.149418767761386,21.205889460032818,26.769112315125344,26.182972195175125,-0.0,15.092532544532252,21.241584021566084,-0.0,24.470568355186057,-0.0,23.095299002777644,-0.0,-0.0,-0.0,19.843877593289708
-6 1 3,-0.0,-0.0,-0.0,-15.153068873291456,-44.81907340183218,-3.6438199437695222,-3.064693452105694,-2.9735249345443813,-41.0487296148283,-42.36846289079823,-47.027540803005756,-5.735020770312117,-6.623327945452818,-9.867274905652973,-8.688452939163776,-12.879923257927233,-3.9749027102778305,-4.224718381892833,-4.251448516240992,-2.137764305731063,-12.62489393830849,-42.55459317352843,-40.786708088294866,-10.305651642793253,-39.4556856201086,-22.824448398363437,-42.8591792955143,-32.033912226373594,-51.091048934920245,-18.925860283644532,-28.214227956121647,-53.81626560729603,-36.12820414960538,-42.24745674090985,-40.226280596480265,-44.307182908457904,-86.96795487009554,-20.98135062247021,-41.1806342152562
-6 1 4,0.0,-0.0,-0.0,-87.32309045213776,-255.45026773389992,-0.0,-0.0,-0.0,-205.5606959611119,-243.68973369364983,-263.06874208028194,-2.990749685847843,-1.6197187522820493,-3.2254418860733804,0.9393835177252396,-2.8773166101836405,-9.442361609990908,-4.744373679135843,-12.895840510142188,-7.549366598208426,-25.81887732191284,-178.08773979628415,-227.19501359551572,-12.76478664756381,-106.84686710108927,-41.43021539414079,-144.4531482684118,-70.6397381360233,-280.0042327157572,-30.52197229527371,-57.06963577332235,-402.646531714176,-93.25995342954829,-531.6857030226705,-132.68505725281815,-510.92545585259614,-522.9179409526906,-606.7167483255644,-170.1501807792521
-6 1 5,0.0,0.0,0.0,0.0,43.29049453158893,13.850192241513685,10.66410103013902,6.606826980138434,39.322837585967925,43.53197894973409,42.636532417516705,15.91744253354082,8.216650085191247,2.9444273419497122,17.900521667400678,19.517418901198422,19.88510552130896,20.107602484882545,22.429011891656195,16.444674212115277,22.118443846734063,34.15414952161342,42.46194693856795,16.180180193607004,22.080743929429755,17.046001258193954,27.881331818024666,18.352146013258285,0.0,14.200669338249153,14.922311065976272,29.756985754519583,17.989697697009525,6.560331562914924,23.50636272526809,0.0,3.7599743248909094,21.595731502214356,31.026047094519942
-6 1 6,0.0,0.0,0.0,0.0,23.58228970033582,5.5998990627448935,4.036229812576362,1.799948009137796,43.13451241543317,30.73133764308931,17.958217943861936,6.617408675343895,4.249424324293676,1.4873716699973492,8.58638161463312,10.511367516299455,11.660229676782997,11.474798959160335,12.65547240949807,9.656412000765583,11.92399953061127,44.952957123096475,37.870026165785866,8.526640958565718,33.88247829292121,15.64543581981646,41.87716646491947,23.832670781548533,0.0,10.625776259994495,17.840986733628245,0.0,28.574575706112284,0.0,37.3803839986906,0.0,0.0,0.0,42.100805407842586
-6 2 1,-0.0,-0.0,-0.0,-0.0,-44.4658031962626,-4.61209765500768,-0.7625543628446022,-0.0,-29.442951526300522,-41.6500557963806,-45.835378836802185,-9.47864910561432,-0.09284174436219247,0.41345719703554623,-4.248731735012345,-9.436953505832582,-22.089967542026795,-12.80854224601877,-29.2825571973889,-16.97617093383675,-34.857743826844796,-22.036664763448897,-36.60991697734652,-14.358844652753284,-16.13679386576226,-19.15171270657171,-17.162526027309873,-17.728617342108784,-0.0,-15.354615726882834,-14.747720668958532,-0.0,-12.43208013464396,-0.0,-13.095211960492378,-0.0,-0.0,-5.216577124726292,-17.22959497106376
-6 2 2,-0.0,-0.0,-0.0,0.0,26.875236669060385,0.0,0.0,0.0,6.687054725843245,18.738529536824235,33.39108058389632,0.0,2.8209510388101062,1.2060475935336699,1.6092075207146346,3.0370268562457152,2.4684560331256655,9.437926952593099,-7.411181854664248,7.525507290141055,-14.016768434431581,5.69992836292323,11.169996371768633,-0.0,4.221200880610428,-1.3594616794361454,5.786904283323438,1.0338786894542185,0.0,-0.0,-0.0,0.0,0.0,0.0,1.9122890421302694,-0.0,-0.0,-0.0,3.5542444658110153
-6 2 3,0.0,-0.0,-0.0,-0.0,10.440181511638304,1.7599094890056908,1.578474381931145,0.05775807693764858,-6.740638014955563,6.083908581676785,13.253867492440015,0.0,2.8219182201913644,0.6834154262282979,3.4864250057285067,5.963252582304247,6.242476971901575,11.55579822916795,-2.9512985900257602,9.64556447325531,-16.041350674632433,-13.423748127016697,0.16319791001997522,-0.0,-19.637557481215598,-11.828278605715255,-18.236120844085463,-17.19076265318974,-0.0,-6.969246503621646,-13.847704531353584,-0.0,-17.925599588716235,-0.0,-18.20048764155139,-0.0,-0.0,-0.0,-14.631473804102894
-6 2 4,0.0,0.0,0.0,0.0,-64.51602685302532,14.907408707392335,13.29413977158844,9.481017316406614,-60.84452638069543,-64.16150156328462,-64.57600394747126,13.883362393307646,11.467280316014781,5.24525880534267,23.507921024034133,22.328943895908143,17.264880078475105,20.345302414296377,14.071556670212303,16.936468469796765,2.477224323313739,-56.032253194568696,-63.14162973126403,8.550017015067061,-33.150845703206926,-3.070504453551808,-46.92323503667744,-17.30940648353615,0.0,0.0,-7.30110068745135,0.0,-24.23028487635069,0.0,-40.142625761291264,0.0,0.0,0.0,-51.161401762054886
