,R1,R2,smiles,ee.,temperature[celcius],Fix_comment,Fix_R2,Fix_rmse,Reference2,er.,temperature,Ireru,Reductant,Comment,612,Ref
0,Me,Ph,CC(=O)c1ccccc1,96.5,2,,Nan,,https://pubs.acs.org/doi/pdf/10.1021/ja00259a075,98.25,275,TRUE,BTHF,,,TRUE
1,Et,Ph,CCC(=O)c1ccccc1,96.7,-10,,TRUE,,https://pubs.acs.org/doi/pdf/10.1021/ja00259a075,98.35,263,TRUE,BTHF,,,TRUE
2,Ph,Cl-Me,ClCC(=O)c1ccccc1,95.3,32,,Nan,,https://pubs.acs.org/doi/pdf/10.1021/ja00259a075,97.65,305,FALSE,BTHF,Clの判定むずい,,TRUE
3,Me,tBu,CC(=O)C(C)(C)C,97.3,-10,,Nan,,https://pubs.acs.org/doi/pdf/10.1021/ja00259a075,98.65,263,TRUE,BTHF,,,TRUE
4,,,O=C1CCCc2ccccc12,86,-15,,Nan,,https://pubs.acs.org/doi/pdf/10.1021/ja00259a075,93,258,TRUE,BTHF,,,TRUE
5,Me,C-hex,CC(=O)C1CCCCC1,84,-10,,Nan,,https://pubs.acs.org/doi/pdf/10.1021/ja00259a075,92,263,TRUE,BTHF,,,TRUE
6,Cycle,Br,O=C1CCCC=C1(Br),91,23,,Nan,,https://pubs.acs.org/doi/pdf/10.1021/ja00259a075,95.5,296,TRUE,BTHF,,,TRUE
7,Me,Ar,CC(=O)c1cc2ccc(OC)cc2cc1,97.6,23,,Nan,,https://pubs.acs.org/doi/pdf/10.1021/ja00259a075,98.8,296,TRUE,BTHF,,,TRUE
8,R,Ar,COC(=O)CCC(=O)c1ccccc1,94,0,,Nan,,https://pubs.acs.org/doi/pdf/10.1021/ja00259a075,97,273,TRUE,BTHF,,,TRUE
9,R,Ar,COC(=O)CCCC(=O)c1ccccc1,96.7,0,,Nan,,https://pubs.acs.org/doi/pdf/10.1021/ja00259a075,98.35,273,TRUE,BTHF,,,TRUE
10,R,Ar,CC(=O)c1cc(Br)ccc1,96,23,,Nan,,https://reader.elsevier.com/reader/sd/pii/004040399180469M?token=7DF5A007F4F289AFC077A8C2814FC2BA9E863F7D0255F7B265C31037ED5D2945D0BB4B0033ADC6C27ECFC4D96CD961CF&originRegion=us-east-1&originCreation=20230112052823,98,296,TRUE,BTHF,,,TRUE
11,R,Ar,CC(=O)c1cc(OC)ccc1,97,23,,Nan,,https://reader.elsevier.com/reader/sd/pii/004040399180469M?token=7DF5A007F4F289AFC077A8C2814FC2BA9E863F7D0255F7B265C31037ED5D2945D0BB4B0033ADC6C27ECFC4D96CD961CF&originRegion=us-east-1&originCreation=20230112052823,98.5,296,TRUE,BTHF,,,TRUE
12,R,Ar,CC(=O)c1cc2ccccc2cc1,96,23,,Nan,,https://reader.elsevier.com/reader/sd/pii/004040399180469M?token=7DF5A007F4F289AFC077A8C2814FC2BA9E863F7D0255F7B265C31037ED5D2945D0BB4B0033ADC6C27ECFC4D96CD961CF&originRegion=us-east-1&originCreation=20230112052823,98,296,TRUE,BTHF,,,TRUE
13,Cycle,Olefin+R,O=C1CCC=C1CC(OC)OC,93,10,,Nan,,https://reader.elsevier.com/reader/sd/pii/0040403988851219?token=C5CA9BE2A7371D93E947BCF2632983062D893AFD1EDBC9E308C57F819A8547D97597B886CBB277513D6AAB65043DD2EB&originRegion=us-east-1&originCreation=20230112055535,96.5,283,TRUE,BTHF,,,TRUE
14,Cycle,Olefin+Br,O=C1CCC=C1(Br),90,23,,Nan,,https://www.sciencedirect.com/science/article/pii/S0040403900922652,95,296,TRUE,BTHF,,,TRUE
15,Me,tPh,CC(=O)C(c1ccccc1)(c1ccccc1)c1ccccc1,97,23,,Nan,,https://www.sciencedirect.com/science/article/pii/0040403991804197,98.5,296,TRUE,BTHF,,,TRUE
16,,,CC(=O)C[C@H](C)C[C@H](C)C[C@H](C)CC,70,23,,Nan,,"Morr, M.; Proppe, C.; Wray, V. Liebigs Ann. Chem. 1995, 2001–2004",85,296,TRUE,BTHF,,,FALSE
