,R1,R2,smiles,ee.,Fixed,temperature[celcius],Fix_comment,Fix_R2,Fix_rmse,Reference2,er.,temperature,Ireru,Reductant,Comment,612,Ref
0,Me,Ph,c1ccccc1C(=O)C,96.5,TRUE,2,,Nan,,https://pubs.acs.org/doi/pdf/10.1021/ja00259a075,98.25,275,TRUE,BTHF,,,TRUE
1,Et,Ph,c1ccccc1C(=O)CC,96.7,TRUE,-10,,TRUE,,https://pubs.acs.org/doi/pdf/10.1021/ja00259a075,98.35,263,TRUE,BTHF,,,TRUE
2,Ph,Cl-Me,ClCC(=O)c1ccccc1,-95.3,TRUE,32,,Nan,,https://pubs.acs.org/doi/pdf/10.1021/ja00259a075,2.35,305,FALSE,BTHF,Clの判定むずい,,TRUE
3,Me,tBu,CC(C)(C)C(=O)C,97.3,TRUE,-10,,Nan,,https://pubs.acs.org/doi/pdf/10.1021/ja00259a075,98.65,263,TRUE,BTHF,,,TRUE
4,,,c12ccccc1CCCC2(=O),86,TRUE,-15,,Nan,,https://pubs.acs.org/doi/pdf/10.1021/ja00259a075,93,258,TRUE,BTHF,,,TRUE
5,Me,C-hex,C1CCCCC1C(=O)C,84,TRUE,-10,,Nan,,https://pubs.acs.org/doi/pdf/10.1021/ja00259a075,92,263,TRUE,BTHF,,,TRUE
6,Cycle,Br,O=C1C(Br)=CCCC1,91,TRUE,23,,Nan,,https://pubs.acs.org/doi/pdf/10.1021/ja00259a075,95.5,296,TRUE,BTHF,,,TRUE
7,Me,Ar,O=C(C1=CC=C(C=C(OC)C=C2)C2=C1)C,97.6,TRUE,23,,Nan,,https://pubs.acs.org/doi/pdf/10.1021/ja00259a075,98.8,296,TRUE,BTHF,,,TRUE
8,R,Ar,C(=O)(c1ccccc1)CCC(=O)OC,94,TRUE,0,,Nan,,https://pubs.acs.org/doi/pdf/10.1021/ja00259a075,97,273,TRUE,BTHF,,,TRUE
9,R,Ar,C(=O)(c1ccccc1)CCCC(=O)OC,96.7,TRUE,0,,Nan,,https://pubs.acs.org/doi/pdf/10.1021/ja00259a075,98.35,273,TRUE,BTHF,,,TRUE
10,R,Ar,C(=O)(c1cc(Br)ccc1)C,96,TRUE,23,,Nan,,https://reader.elsevier.com/reader/sd/pii/004040399180469M?token=7DF5A007F4F289AFC077A8C2814FC2BA9E863F7D0255F7B265C31037ED5D2945D0BB4B0033ADC6C27ECFC4D96CD961CF&originRegion=us-east-1&originCreation=20230112052823,98,296,TRUE,BTHF,,,TRUE
11,R,Ar,C(=O)(c1cc(OC)ccc1)C,97,TRUE,23,,Nan,,https://reader.elsevier.com/reader/sd/pii/004040399180469M?token=7DF5A007F4F289AFC077A8C2814FC2BA9E863F7D0255F7B265C31037ED5D2945D0BB4B0033ADC6C27ECFC4D96CD961CF&originRegion=us-east-1&originCreation=20230112052823,98.5,296,TRUE,BTHF,,,TRUE
12,R,Ar,C(=O)(c1cc2ccccc2cc1)C,96,TRUE,23,,Nan,,https://reader.elsevier.com/reader/sd/pii/004040399180469M?token=7DF5A007F4F289AFC077A8C2814FC2BA9E863F7D0255F7B265C31037ED5D2945D0BB4B0033ADC6C27ECFC4D96CD961CF&originRegion=us-east-1&originCreation=20230112052823,98,296,TRUE,BTHF,,,TRUE
13,Cycle,Olefin+R,C1=C(CC(OC)(OC))C(=O)CC1,93,TRUE,10,,Nan,,https://reader.elsevier.com/reader/sd/pii/0040403988851219?token=C5CA9BE2A7371D93E947BCF2632983062D893AFD1EDBC9E308C57F819A8547D97597B886CBB277513D6AAB65043DD2EB&originRegion=us-east-1&originCreation=20230112055535,96.5,283,TRUE,BTHF,,,TRUE
14,Cycle,Olefin+Br,C1=C(Br)C(=O)CC1,90,TRUE,23,,Nan,,https://www.sciencedirect.com/science/article/pii/S0040403900922652,95,296,TRUE,BTHF,,,TRUE
15,Me,tPh,C(=O)(C(c1ccccc1)(c1ccccc1)c1ccccc1)C,97,TRUE,23,,Nan,,https://www.sciencedirect.com/science/article/pii/0040403991804197,98.5,296,TRUE,BTHF,,,TRUE
16,,,C(=O)(C[C@H](C)C[C@H](C)C[C@H](C)CC)C,70,TRUE,23,,Nan,,"Morr, M.; Proppe, C.; Wray, V. Liebigs Ann. Chem. 1995, 2001–2004",85,296,TRUE,BTHF,,,FALSE
17,,,C(=O)(c1ccc(F)cc1)C,97,TRUE,-20,,,,https://pubs.acs.org/doi/pdf/10.1021/jo00062a037,98.5,253,FALSE,BMS,S,,TRUE
18,,,C(=O)(c1ccc(OC)cc1)C,99,TRUE,-20,,,,https://pubs.acs.org/doi/pdf/10.1021/jo00062a037,99.5,253,FALSE,BMS,S,,TRUE
19,,,C(=O)(c1c(OC)c(OC)ccc1)C,97,TRUE,23,Check,,,https://reader.elsevier.com/reader/sd/pii/0040403996011227?token=1635A4B714A425A830E0ECE8CB9CA14F6763DBA4C9D90E3667DFB1705B7943D0D52609C710573D763BEC542FC0B709E9&originRegion=us-east-1&originCreation=20230324092322,98.5,296,FALSE,BMS,S,,TRUE
20,,,C(=O)(c1c(OC)cccc1)C,94,TRUE,23,Check,,,https://reader.elsevier.com/reader/sd/pii/0040403996011227?token=1635A4B714A425A830E0ECE8CB9CA14F6763DBA4C9D90E3667DFB1705B7943D0D52609C710573D763BEC542FC0B709E9&originRegion=us-east-1&originCreation=20230324092322,97,296,FALSE,BMS,S,,TRUE
21,,,c12ccccc1CCCCC2(=O),99,TRUE,-20,Large,0.621,0.686,https://pubs.acs.org/doi/pdf/10.1021/jo00062a037,99.5,253,FALSE,BMS,S,,TRUE
22,,,C(=O)(C1=CC=CS1)C,94,TRUE,22.5,Small,0.697,0.606,https://reader.elsevier.com/reader/sd/pii/004040399389012F?token=2C73BF558122C5097603C2D3BF22F1DF2531E34D40F15A055FB9CF4BA68EDEA82606BAC68030A7CE14323F41E40F801C&originRegion=us-east-1&originCreation=20230324093016,97,295.5,FALSE,BMS,R,,TRUE
